request_id,model,prompt_tokens,completion_tokens,latency_ms,success,total_tokens,latency_seconds,tokens_per_second
1,gpt,120.0,45.0,1250.0,True,165.0,1.25,132.0
2,claude,200.0,80.0,980.0,True,280.0,0.98,285.7142857142857
3,gpt,180.0,50.0,1100.0,False,230.0,1.1,209.09090909090907
4,gemini,150.0,60.0,870.0,True,210.0,0.87,241.3793103448276
5,claude,320.0,70.0,1450.0,True,390.0,1.45,268.9655172413793
6,gemini,90.0,35.0,1050.0,False,125.0,1.05,119.04761904761904
7,gpt,250.0,110.0,1600.0,True,360.0,1.6,225.0
8,claude,180.0,70.0,1050.0,True,250.0,1.05,238.09523809523807
9,gemini,210.0,95.0,1300.0,False,305.0,1.3,234.6153846153846
10,gpt,75.0,25.0,620.0,True,100.0,0.62,161.29032258064515
11,claude,180.0,55.0,900.0,False,235.0,0.9,261.1111111111111
12,gemini,400.0,160.0,2100.0,True,560.0,2.1,266.66666666666663
13,gpt,140.0,65.0,0.0,True,205.0,0.0,
14,claude,280.0,120.0,1750.0,True,400.0,1.75,228.57142857142858
15,gemini,110.0,40.0,760.0,True,150.0,0.76,197.3684210526316
16,gpt,500.0,220.0,2400.0,False,720.0,2.4,300.0
17,claude,160.0,75.0,1020.0,True,235.0,1.02,230.39215686274508
