customer_id,age,monthly_spend,account_age_months,support_tickets,plan,country,churned
1001,22,124.61,35,3,standard,uk,1
1002,59,82.05,100,5,basic,uk,1
1003,52,149.31,31,2,premium,uk,0
1004,41,42.55,96,2,basic,germany,1
1005,40,18.75,56,0,standard,germany,0
1006,63,29.86,28,1,standard,germany,0
1007,22,134.19,41,3,basic,germany,1
1008,54,91.21,64,4,standard,uk,1
1009,28,41.61,92,1,standard,spain,0
1010,22,97.67,73,1,standard,france,0
1011,45,40.13,112,3,standard,germany,0
1012,69,129.89,105,5,premium,uk,1
1013,56,88.62,91,1,standard,spain,0
1014,58,77.87,73,4,standard,uk,0
1015,56,64.75,35,3,basic,uk,1
1016,59,119.0,50,1,premium,france,0
1017,45,74.7,15,2,standard,uk,1
1018,24,29.46,45,5,standard,uk,0
1019,62,34.47,112,4,basic,germany,0
1020,41,173.71,52,2,premium,uk,0
1021,44,164.92,14,2,basic,spain,0
1022,37,130.45,79,2,standard,uk,0
1023,27,58.87,116,2,basic,germany,0
1024,67,174.91,105,2,premium,france,0
1025,59,143.49,33,4,basic,germany,1
1026,52,133.29,55,3,basic,france,0
1027,39,89.14,64,1,premium,france,1
1028,61,59.92,30,1,premium,spain,1
1029,46,30.9,33,3,basic,uk,0
1030,41,163.93,29,0,standard,uk,0
1031,41,90.2,120,0,standard,germany,1
1032,30,48.39,90,0,premium,spain,0
1033,22,65.48,101,3,basic,uk,0
1034,47,110.57,98,0,standard,france,0
1035,65,44.17,116,5,standard,spain,0
1036,21,156.34,13,1,standard,germany,1
1037,63,140.16,106,4,premium,spain,1
1038,61,133.71,8,2,standard,france,1
1039,32,86.3,58,3,basic,germany,1
1040,51,118.51,72,1,premium,uk,0
1041,26,111.38,43,2,premium,spain,0
1042,58,122.22,18,0,premium,uk,0
1043,55,28.93,24,2,basic,germany,1
1044,36,83.61,99,3,basic,france,1
1045,21,21.87,39,4,standard,france,1
1046,69,96.51,38,2,basic,germany,0
1047,41,69.43,111,2,premium,france,0
1048,65,38.85,18,1,basic,spain,1
1049,53,32.06,110,2,standard,france,0
1050,59,111.96,111,2,premium,germany,0
1051,58,43.15,72,2,basic,uk,0
